transaction_id,amount,transaction_hour,foreign_transaction,location_mismatch,velocity_last_24h,cardholder_age,is_fraud,device_trust_score_binned,merchant_category_Clothing,merchant_category_Electronics,merchant_category_Food,merchant_category_Grocery,merchant_category_Travel
45,53.9,16,0,0,2,34,0,3,0,0,0,1,0
46,195.53,1,0,0,3,46,0,1,0,0,0,1,0
47,67.24,12,0,0,3,38,0,1,0,1,0,0,0
48,132.14,0,0,0,2,23,0,1,1,0,0,0,0
49,142.42,18,0,1,2,41,0,2,0,0,0,0,1
50,36.79,10,0,0,1,66,0,1,0,0,0,1,0
51,529.8425,4,0,0,4,45,0,1,1,0,0,0,0
52,268.6,0,0,0,1,34,0,3,0,0,1,0,0
53,504.92,19,0,0,1,59,0,2,0,1,0,0,0
54,405.39,12,0,0,0,39,0,2,0,0,0,1,0
55,163.99,7,0,0,2,41,0,3,0,0,0,1,0
56,458.9,5,0,0,1,57,0,1,0,0,0,0,1
57,16.68,16,0,0,1,35,0,1,0,0,0,1,0
58,39.26,11,1,1,3,45,1,1,1,0,0,0,0
59,8.33,0,0,0,2,27,0,1,1,0,0,0,0
60,70.84,2,0,0,4,18,0,2,1,0,0,0,0
61,88.58,13,0,0,0,54,0,2,0,0,1,0,0
62,56.98,7,1,0,2,43,0,2,0,0,1,0,0
63,317.62,10,0,0,1,67,0,3,0,0,0,1,0
64,79.42,13,0,0,3,43,0,1,0,0,1,0,0
65,59.36,7,0,0,1,50,0,3,0,0,1,0,0
66,140.83,2,0,0,2,26,0,1,0,0,0,0,1
67,27.34,6,0,0,2,35,0,2,0,0,1,0,0
68,291.69,18,1,1,1,22,0,2,0,1,0,0,0
69,13.95,3,0,0,1,39,0,2,0,1,0,0,0
70,529.8425,15,0,0,3,27,0,3,0,1,0,0,0
71,266.31,12,0,0,2,31,0,3,0,0,0,1,0
72,39.88,19,0,0,1,29,0,1,1,0,0,0,0
73,1.0,18,0,1,2,49,0,2,0,0,0,0,1
74,304.18,4,0,0,1,56,0,1,0,0,0,1,0
75,220.88,22,0,1,1,62,0,3,1,0,0,0,0
76,235.02,4,0,1,2,53,0,1,0,0,0,0,1
77,265.54,19,0,0,0,68,0,2,0,0,0,0,1
78,13.85,23,0,0,4,67,0,1,0,0,0,0,1
79,79.9,3,0,0,4,64,0,3,0,1,0,0,0
80,22.17,1,0,0,1,32,0,3,0,1,0,0,0
81,357.94,12,0,0,3,50,0,3,0,1,0,0,0
82,175.73,15,0,1,0,33,0,1,0,0,0,0,1
83,72.33,21,1,0,1,21,0,3,0,0,0,0,1
84,11.82,1,0,0,1,68,0,2,0,1,0,0,0
85,67.05,18,0,0,3,20,0,2,0,0,0,0,1
86,70.8,16,0,0,2,43,0,1,0,1,0,0,0
87,235.42,4,0,0,0,54,0,1,0,1,0,0,0
88,182.68,17,1,0,0,51,0,1,0,1,0,0,0
89,392.81,22,0,0,4,59,0,2,1,0,0,0,0
90,115.03,20,0,0,1,26,0,3,0,0,0,0,1
91,22.93,17,0,0,1,61,0,3,0,0,0,1,0
92,224.84,7,0,0,0,31,0,2,0,1,0,0,0
93,257.47,14,0,0,2,64,0,2,0,0,0,1,0
94,148.3,12,0,0,1,50,0,1,1,0,0,0,0
95,265.3,12,0,1,4,65,0,2,0,0,0,0,1
96,122.55,15,0,0,1,55,0,1,0,1,0,0,0
97,133.14,21,0,0,2,22,0,3,0,1,0,0,0
98,100.41,19,0,0,2,68,0,1,0,1,0,0,0
99,4.63,12,0,0,0,64,0,3,0,0,0,1,0
100,20.55,19,0,0,3,45,0,3,1,0,0,0,0
101,5.75,1,0,0,1,50,0,3,0,0,0,0,1
102,182.11,2,0,0,3,34,0,2,1,0,0,0,0
103,67.93,14,0,0,3,38,0,3,0,1,0,0,0
104,127.88,22,0,0,2,24,0,2,1,0,0,0,0
105,428.63,18,0,0,2,57,0,2,0,0,0,1,0
106,51.61,12,0,0,4,52,0,3,0,0,1,0,0
107,95.09,4,0,1,6,24,0,3,0,0,1,0,0
108,253.57,21,0,1,2,25,0,1,0,0,0,0,1
109,46.76,5,0,0,3,68,0,2,0,0,0,0,1
110,14.42,13,1,0,0,61,0,3,1,0,0,0,0
111,61.59,3,0,0,0,59,0,1,0,0,0,0,1
112,31.65,21,0,0,1,48,0,2,0,0,0,1,0
113,477.89,18,0,0,3,22,0,1,0,1,0,0,0
114,297.16,22,0,0,2,22,0,1,0,1,0,0,0
115,180.63,6,0,0,3,41,0,2,1,0,0,0,0
116,369.27,3,1,0,1,39,0,3,0,1,0,0,0
117,293.03,1,0,0,4,61,0,3,1,0,0,0,0
118,37.17,6,1,0,4,30,0,3,0,0,0,0,1
119,401.55,2,0,0,1,39,0,1,0,0,0,0,1
120,139.52,14,0,0,0,43,0,2,0,0,0,1,0
121,296.52,0,0,0,3,18,0,3,0,1,0,0,0
122,407.56,1,1,0,2,34,1,1,0,0,0,1,0
123,68.89,9,0,0,0,36,0,1,0,0,1,0,0
124,20.99,15,1,1,2,19,1,1,0,0,0,1,0
125,46.56,14,0,0,4,67,0,1,1,0,0,0,0
126,100.27,23,0,0,5,69,0,3,1,0,0,0,0
127,306.69,14,0,0,5,28,0,1,0,0,0,1,0
128,354.84,13,0,0,4,47,0,2,0,0,0,0,1
129,1.26,21,0,1,2,63,0,2,0,0,1,0,0
130,128.68,13,0,1,4,40,0,2,0,0,0,1,0
131,97.25,5,1,0,1,32,0,1,0,0,0,0,1
132,45.21,13,0,0,2,40,0,1,0,0,0,1,0
133,22.98,16,1,1,3,29,0,2,0,1,0,0,0
134,74.14,17,0,0,1,44,0,3,1,0,0,0,0
135,515.36,19,0,1,1,23,0,3,0,1,0,0,0
136,70.27,18,0,0,2,47,0,2,0,1,0,0,0
137,131.66,16,0,0,3,22,0,1,0,0,1,0,0
138,218.54,15,0,0,0,63,0,3,0,0,0,0,1
139,81.36,7,1,0,4,55,0,2,1,0,0,0,0
140,529.8425,6,0,0,1,52,0,3,0,1,0,0,0
141,529.8425,19,1,0,3,23,0,3,1,0,0,0,0
142,52.21,11,0,0,2,31,0,2,0,0,0,0,1
143,123.78,8,0,0,1,69,0,2,0,0,0,1,0
144,64.43,13,0,0,1,67,0,3,0,1,0,0,0
145,60.34,19,0,0,2,34,0,3,0,0,0,0,1
146,6.77,0,0,0,2,26,0,3,1,0,0,0,0
147,169.29,9,0,0,3,57,0,2,0,0,0,0,1
148,125.73,16,0,0,1,48,0,2,0,0,0,1,0
149,9.51,16,0,0,5,53,0,3,0,0,0,0,1
150,58.79,16,0,0,1,27,0,3,1,0,0,0,0
151,429.99,3,0,0,2,44,0,1,0,1,0,0,0
152,49.29,16,0,0,6,66,0,1,0,1,0,0,0
153,28.18,17,0,0,4,69,0,3,0,0,1,0,0
154,121.01,19,1,0,3,22,0,1,1,0,0,0,0
155,529.8425,22,0,0,1,34,0,3,0,0,1,0,0
156,49.89,1,0,0,0,48,0,3,0,0,1,0,0
157,200.73,7,0,0,1,31,0,1,0,0,0,1,0
158,258.1,12,0,0,2,40,0,2,1,0,0,0,0
159,48.84,22,0,0,1,61,0,1,0,1,0,0,0
160,234.49,21,0,0,2,46,0,2,1,0,0,0,0
161,82.53,19,1,0,3,56,0,1,0,0,0,1,0
162,180.09,21,1,0,1,32,0,1,1,0,0,0,0
163,180.69,14,0,1,2,64,0,3,1,0,0,0,0
164,138.13,19,0,0,3,29,0,2,0,0,1,0,0
165,17.03,22,0,0,0,50,0,2,1,0,0,0,0
166,324.66,8,0,0,1,57,0,2,0,0,1,0,0
167,69.63,2,0,0,0,47,0,2,0,0,1,0,0
168,37.16,2,0,0,6,39,0,2,0,0,0,0,1
169,7.49,1,0,0,1,47,0,3,0,0,0,1,0
170,160.88,0,0,0,2,49,0,3,0,0,1,0,0
171,203.73,13,0,0,3,37,0,2,1,0,0,0,0
172,3.01,16,0,0,0,55,0,2,0,0,1,0,0
173,129.17,12,0,0,3,37,0,2,0,0,1,0,0
174,46.23,18,1,1,2,19,0,2,0,0,1,0,0
175,186.5,22,0,0,2,48,0,1,0,1,0,0,0
176,34.49,14,0,0,2,67,0,3,0,1,0,0,0
177,211.36,13,0,0,1,45,0,3,0,1,0,0,0
178,88.01,1,0,1,0,20,0,2,0,1,0,0,0
179,496.86,6,0,1,4,37,0,2,0,0,0,0,1
180,26.63,16,0,0,2,52,0,3,0,0,1,0,0
181,75.08,17,0,0,4,36,0,3,0,0,0,0,1
182,21.68,5,0,0,3,23,0,1,1,0,0,0,0
183,465.51,20,0,0,5,28,0,2,0,0,0,1,0
184,377.7,7,1,0,2,62,0,3,0,0,0,0,1
185,53.7,1,0,0,3,23,0,1,0,1,0,0,0
186,194.18,0,0,0,3,35,0,2,0,1,0,0,0
187,305.91,15,0,0,4,64,0,1,1,0,0,0,0
188,145.82,6,0,0,1,31,0,1,0,0,1,0,0
189,135.77,21,1,0,4,31,0,3,0,0,0,1,0
190,49.84,23,0,0,2,18,0,2,0,0,0,0,1
191,17.59,10,0,0,1,34,0,1,0,0,1,0,0
192,409.52,14,0,0,2,31,0,2,0,0,1,0,0
193,415.22,12,1,0,2,48,0,3,0,0,0,0,1
194,180.48,23,0,0,4,62,0,2,0,0,0,0,1
195,74.53,1,0,0,3,27,0,3,0,0,0,0,1
196,77.32,13,0,0,3,55,0,3,0,0,0,0,1
197,233.0,23,0,0,0,50,0,1,0,1,0,0,0
198,409.34,5,0,0,2,22,0,3,0,0,1,0,0
199,392.6,8,0,0,1,33,0,2,0,0,1,0,0
200,272.44,6,0,0,0,37,0,2,0,1,0,0,0
201,184.92,17,0,0,2,65,0,1,0,0,1,0,0
202,15.82,23,0,0,2,39,0,1,0,0,0,0,1
203,31.73,8,0,0,1,57,0,3,0,0,0,1,0
204,411.88,22,0,0,3,34,0,1,0,0,1,0,0
205,167.85,3,1,0,1,67,0,3,0,0,0,1,0
206,1.66,8,0,0,2,67,0,2,0,0,0,1,0
207,19.26,3,0,0,2,26,0,3,0,1,0,0,0
208,196.05,11,0,0,0,55,0,1,1,0,0,0,0
209,0.91,3,0,0,2,59,0,2,0,0,1,0,0
210,31.56,23,0,0,2,26,0,2,0,1,0,0,0
211,143.23,19,0,0,4,32,0,2,0,1,0,0,0
212,211.92,13,0,0,1,69,0,3,0,0,0,1,0
213,189.98,23,0,0,2,63,0,1,0,0,1,0,0
214,45.71,23,0,0,1,31,0,1,0,1,0,0,0
215,224.18,6,0,0,0,26,0,1,0,0,0,0,1
216,48.75,12,0,0,1,26,0,2,0,1,0,0,0
217,70.85,21,0,0,2,50,0,1,0,0,0,0,1
218,247.02,7,0,0,0,48,0,1,1,0,0,0,0
219,188.78,22,0,0,2,27,0,2,0,0,0,0,1
220,340.55,4,0,0,0,27,0,1,0,0,0,0,1
221,192.93,11,0,0,3,56,0,2,0,0,0,1,0
222,151.21,12,0,0,2,22,0,3,0,1,0,0,0
223,17.7,19,0,0,3,35,0,3,1,0,0,0,0
224,82.51,13,0,0,3,50,0,1,0,1,0,0,0
225,55.47,17,0,0,1,66,0,1,0,0,0,0,1
226,50.35,23,0,0,3,35,0,1,0,0,0,0,1
227,529.8425,19,0,1,1,69,0,1,0,1,0,0,0
228,89.89,3,0,0,2,29,0,3,1,0,0,0,0
229,400.69,20,0,0,0,42,0,3,1,0,0,0,0
230,179.52,17,0,0,4,44,0,1,0,0,0,1,0
231,285.09,6,0,0,3,58,0,1,0,0,0,0,1
232,125.72,14,0,0,4,26,0,1,0,0,0,0,1
233,154.83,20,0,0,2,66,0,2,0,0,0,1,0
234,122.09,5,0,0,0,30,0,3,0,1,0,0,0
235,39.1,15,1,0,5,66,0,3,0,0,0,0,1
236,230.72,19,0,1,1,39,0,2,0,1,0,0,0
237,59.32,23,0,0,3,19,0,2,1,0,0,0,0
238,4.43,7,0,0,1,56,0,1,0,0,1,0,0
239,186.65,20,0,0,2,65,0,1,0,0,0,1,0
240,35.09,15,0,0,2,32,0,1,0,0,0,0,1
241,507.79,21,0,0,4,40,0,2,0,0,0,1,0
242,529.8425,15,0,0,2,30,0,2,1,0,0,0,0
243,443.43,2,0,0,3,62,0,2,1,0,0,0,0
244,83.21,16,0,0,1,64,0,1,1,0,0,0,0
245,2.8,8,0,0,1,37,0,3,1,0,0,0,0
246,474.39,2,0,0,3,30,0,1,0,0,1,0,0
247,100.61,19,0,0,3,44,0,2,0,1,0,0,0
248,529.8425,6,0,0,3,59,0,3,0,1,0,0,0
249,529.8425,17,0,0,3,34,0,2,0,0,1,0,0
250,345.13,11,0,0,3,48,0,3,0,1,0,0,0
251,62.78,18,0,0,0,43,0,1,1,0,0,0,0
252,87.53,15,0,0,0,39,0,3,0,1,0,0,0
253,342.85,21,0,0,1,58,0,3,0,0,0,1,0
254,68.61,23,0,0,1,49,0,2,0,1,0,0,0
255,33.43,16,0,0,0,39,0,3,0,0,0,1,0
256,146.47,19,0,0,0,45,0,2,0,0,0,0,1
257,495.23,14,0,0,0,59,0,2,0,0,0,1,0
258,214.35,0,0,0,1,64,0,2,0,0,0,1,0
259,151.94,1,0,0,2,18,0,3,1,0,0,0,0
260,18.4,7,0,0,0,21,0,3,1,0,0,0,0
261,171.82,21,0,0,1,33,0,1,1,0,0,0,0
262,529.8425,1,1,0,2,60,0,2,0,0,0,1,0
263,27.17,18,0,0,0,40,0,2,0,0,1,0,0
264,131.49,8,0,0,4,55,0,1,1,0,0,0,0
265,377.75,8,0,0,2,58,0,2,1,0,0,0,0
266,243.01,12,0,0,3,65,0,1,0,0,0,1,0
267,214.93,5,0,0,0,53,0,1,0,0,0,0,1
268,218.21,14,0,1,0,31,0,1,0,0,0,0,1
269,80.19,18,0,0,0,60,0,1,0,1,0,0,0
270,62.56,20,0,0,1,60,0,2,0,0,0,0,1
271,298.33,14,0,0,0,20,0,1,1,0,0,0,0
272,299.04,17,0,0,1,18,0,2,0,0,1,0,0
273,363.23,6,0,0,1,61,0,1,0,1,0,0,0
274,440.03,10,0,0,2,33,0,2,0,0,1,0,0
275,128.9,7,0,0,5,25,0,1,0,0,1,0,0
276,125.31,5,0,0,3,18,0,3,1,0,0,0,0
277,288.17,7,0,0,0,38,0,2,0,0,0,1,0
278,188.95,1,0,0,3,19,0,3,0,0,0,1,0
279,217.9,18,0,0,1,29,0,1,0,0,0,1,0
280,285.95,15,0,0,0,31,0,1,0,0,0,0,1
281,397.32,6,0,0,2,39,0,1,0,0,0,1,0
282,74.25,9,0,0,0,37,0,2,1,0,0,0,0
283,84.77,11,0,0,3,34,0,2,0,0,0,0,1
284,17.77,16,0,0,1,24,0,2,0,0,0,1,0
285,155.41,6,0,0,3,38,0,3,0,0,1,0,0
286,6.59,21,0,0,2,51,0,2,1,0,0,0,0
287,112.79,7,0,0,1,39,0,3,1,0,0,0,0
288,140.81,6,0,0,2,39,0,1,0,1,0,0,0
289,60.77,3,1,0,5,38,1,2,1,0,0,0,0
290,160.85,2,0,0,2,30,0,1,0,0,1,0,0
291,5.58,18,0,0,3,62,0,3,1,0,0,0,0
292,6.85,14,0,0,0,23,0,3,0,1,0,0,0
293,311.28,3,0,0,0,42,0,1,1,0,0,0,0
294,80.39,8,1,0,1,61,0,1,1,0,0,0,0
295,24.46,12,0,0,1,48,0,1,0,1,0,0,0
296,132.96,17,0,1,4,42,0,2,1,0,0,0,0
297,264.54,20,0,0,1,49,0,1,0,0,0,0,1
298,43.76,15,0,0,4,46,0,1,1,0,0,0,0
299,175.54,0,0,0,1,65,0,3,0,0,0,1,0
300,16.06,3,0,0,2,52,0,2,0,0,0,1,0
301,9.55,17,0,0,3,29,0,1,0,0,0,0,1
302,136.42,7,0,1,1,33,0,2,1,0,0,0,0
303,140.02,19,0,1,4,26,0,3,0,0,1,0,0
304,182.62,15,1,0,0,30,0,3,1,0,0,0,0
305,233.09,20,0,0,1,29,0,1,0,0,0,1,0
306,529.8425,10,0,1,3,43,0,3,0,1,0,0,0
307,130.73,19,0,0,1,32,0,2,0,0,0,0,1
308,70.2,20,0,0,3,21,0,2,0,1,0,0,0
309,285.42,20,0,0,4,66,0,3,0,0,1,0,0
310,56.85,20,0,0,4,27,0,1,1,0,0,0,0
311,104.04,18,0,0,3,65,0,1,0,0,1,0,0
312,14.71,22,0,0,0,61,0,1,0,1,0,0,0
313,4.62,18,0,0,4,55,0,3,1,0,0,0,0
314,529.8425,17,0,0,1,65,0,1,0,0,1,0,0
315,325.4,18,0,0,0,29,0,2,0,0,0,1,0
316,214.32,10,0,0,0,39,0,1,0,0,0,1,0
317,94.65,2,0,0,0,55,0,1,0,0,0,0,1
318,34.26,7,0,0,3,47,0,2,0,0,0,1,0
319,30.62,19,0,0,1,32,0,2,0,0,0,1,0
320,51.84,18,0,0,1,53,0,3,0,1,0,0,0
321,143.42,9,0,1,1,22,0,3,0,0,0,1,0
322,225.69,15,0,0,2,66,0,3,0,0,0,1,0
323,194.29,4,0,0,1,21,0,1,0,1,0,0,0
324,59.11,19,0,0,1,43,0,1,0,0,0,1,0
325,529.8425,8,0,0,0,60,0,2,0,0,0,1,0
326,241.02,7,0,0,2,36,0,1,0,0,0,0,1
327,145.48,10,0,0,2,31,0,2,0,0,0,1,0
328,170.29,15,0,0,1,44,0,1,0,0,0,1,0
329,97.93,6,0,0,1,55,0,3,0,0,0,0,1
330,51.24,14,0,0,2,43,0,1,0,1,0,0,0
331,79.2,23,0,0,2,59,0,3,0,0,0,1,0
332,255.27,20,0,0,3,40,0,2,0,0,1,0,0
333,2.61,19,1,0,5,59,0,1,0,1,0,0,0
334,22.21,22,0,0,1,67,0,2,0,1,0,0,0
335,8.48,16,0,0,4,66,0,1,0,0,0,1,0
336,7.48,5,0,0,5,19,0,3,0,0,0,0,1
337,348.16,14,0,0,2,30,0,3,0,1,0,0,0
338,218.92,7,0,0,2,29,0,3,0,0,0,0,1
339,115.7,6,0,0,3,54,0,3,0,0,1,0,0
340,18.53,1,0,0,3,57,0,1,0,0,0,0,1
341,121.77,12,0,0,4,53,0,1,1,0,0,0,0
342,115.46,22,0,0,3,20,0,3,0,0,0,0,1
343,34.24,5,0,0,1,21,0,3,0,1,0,0,0
344,102.4,4,0,0,5,48,0,1,0,0,0,0,1
345,91.5,19,0,0,2,58,0,1,0,0,0,0,1
346,172.21,0,0,1,1,45,0,1,1,0,0,0,0
347,181.46,17,0,0,3,57,0,2,1,0,0,0,0
348,8.35,14,0,0,0,28,0,1,0,0,0,1,0
349,84.49,22,0,0,0,64,0,2,0,1,0,0,0
350,176.96,9,0,0,5,60,0,2,0,0,0,1,0
351,125.9,2,1,0,0,33,0,2,1,0,0,0,0
352,349.44,4,0,0,5,55,0,3,0,0,0,0,1
353,193.5,23,0,0,5,46,0,2,1,0,0,0,0
354,32.01,12,0,0,3,32,0,3,0,0,1,0,0
355,13.17,7,0,0,3,38,0,3,0,0,0,0,1
356,185.11,21,0,0,5,31,0,3,0,0,0,1,0
357,4.84,20,0,0,2,33,0,2,0,0,0,0,1
358,158.64,1,0,0,3,44,0,3,0,0,1,0,0
359,507.11,8,0,0,0,45,0,3,1,0,0,0,0
360,154.22,16,0,0,5,31,0,1,0,1,0,0,0
361,88.43,17,0,0,0,53,0,3,0,1,0,0,0
362,185.55,12,0,0,0,27,0,2,0,1,0,0,0
363,110.33,0,0,0,0,64,0,2,1,0,0,0,0
364,141.99,11,0,1,3,26,0,3,0,1,0,0,0
365,510.86,19,0,0,2,45,0,1,0,0,1,0,0
366,87.83,19,0,0,5,31,0,3,1,0,0,0,0
367,529.8425,20,0,0,1,36,0,2,0,1,0,0,0
368,424.36,4,0,0,4,30,0,1,0,0,0,1,0
369,39.22,7,0,0,3,68,0,1,1,0,0,0,0
370,12.94,14,0,0,2,54,0,3,1,0,0,0,0
371,19.12,2,0,1,2,56,0,3,0,0,0,0,1
372,3.31,5,0,0,4,69,0,2,0,1,0,0,0
373,17.86,12,0,0,0,20,0,3,0,0,0,1,0
374,206.8,11,0,0,3,24,0,1,0,0,1,0,0
375,13.29,18,0,0,4,45,0,1,1,0,0,0,0
376,69.15,17,0,0,2,31,0,1,0,0,1,0,0
377,335.43,23,0,0,1,54,0,1,0,0,1,0,0
378,4.24,0,0,1,5,65,1,1,0,0,1,0,0
379,303.22,6,0,0,1,69,0,2,0,0,0,0,1
380,59.6,11,0,0,2,39,0,2,0,0,1,0,0
381,22.64,9,0,0,5,48,0,3,0,1,0,0,0
382,214.77,11,0,0,1,18,0,2,0,1,0,0,0
383,178.45,10,0,0,0,64,0,2,0,0,0,1,0
384,377.89,3,1,0,0,29,0,3,0,0,0,1,0
385,239.09,18,0,0,4,41,0,1,0,0,1,0,0
386,292.86,5,1,0,4,47,0,1,0,0,1,0,0
387,59.64,8,0,0,0,63,0,2,0,0,0,0,1
388,35.16,19,0,0,3,65,0,1,0,0,1,0,0
389,249.98,9,0,0,3,44,0,2,0,0,1,0,0
390,295.96,4,1,0,1,33,0,3,0,0,1,0,0
391,529.8425,12,0,0,2,38,0,3,1,0,0,0,0
392,95.77,8,0,0,1,21,0,1,1,0,0,0,0
393,83.74,1,0,0,4,19,0,3,0,0,0,0,1
394,269.63,17,0,0,1,38,0,1,0,0,0,0,1
395,75.01,20,0,0,1,24,0,1,0,1,0,0,0
396,480.62,0,0,0,3,54,0,1,0,0,0,0,1
397,351.87,23,0,0,0,24,0,1,0,1,0,0,0
398,100.86,20,0,0,1,19,0,1,0,0,1,0,0
399,250.16,11,0,0,4,29,0,3,0,0,0,0,1
400,252.83,9,0,0,4,18,0,3,0,0,0,0,1
401,19.59,1,0,0,1,20,0,1,0,0,0,0,1
402,419.12,8,1,1,6,18,1,3,0,1,0,0,0
403,126.67,1,0,0,2,52,0,1,0,1,0,0,0
404,315.24,22,0,0,1,33,0,1,0,0,0,1,0
405,69.43,23,0,0,2,68,0,3,0,1,0,0,0
406,406.58,21,0,0,3,25,0,3,0,1,0,0,0
407,88.74,13,0,0,3,38,0,1,1,0,0,0,0
408,1.96,10,0,0,2,68,0,3,0,0,0,0,1
409,424.42,22,0,0,1,22,0,2,0,1,0,0,0
410,17.23,10,0,0,1,48,0,3,0,0,0,0,1
411,69.24,16,0,0,2,43,0,1,0,0,0,0,1
412,529.8425,3,0,0,3,18,0,1,1,0,0,0,0
413,529.8425,12,0,1,3,40,0,3,0,0,0,0,1
414,153.36,6,0,0,2,30,0,2,0,1,0,0,0
415,179.86,15,0,0,4,49,0,1,0,0,0,0,1
416,107.1,0,0,0,1,22,0,1,0,0,0,1,0
417,62.46,12,0,1,2,37,0,2,0,0,0,1,0
418,71.73,0,0,0,2,68,0,1,1,0,0,0,0
419,200.94,10,0,0,2,45,0,3,0,1,0,0,0
420,251.25,5,0,0,2,24,0,1,1,0,0,0,0
421,282.28,19,0,0,1,30,0,2,0,0,0,1,0
422,280.59,2,0,0,1,49,0,3,0,1,0,0,0
423,17.21,11,0,0,2,63,0,1,0,0,0,0,1
424,122.77,4,0,0,3,35,0,3,0,1,0,0,0
425,10.67,8,0,1,3,63,0,1,0,0,1,0,0
426,143.54,11,0,0,2,62,0,1,0,1,0,0,0
427,104.86,9,0,0,1,25,0,2,0,0,0,0,1
428,393.59,18,0,0,2,46,0,1,0,0,1,0,0
429,77.79,4,0,0,6,37,0,2,1,0,0,0,0
430,22.41,4,0,0,2,43,0,1,0,1,0,0,0
431,27.78,8,0,0,4,35,0,3,1,0,0,0,0
432,258.02,19,0,0,5,63,0,1,0,1,0,0,0
433,173.32,16,0,0,2,19,0,1,0,0,0,1,0
434,19.19,9,0,0,0,60,0,2,0,0,0,1,0
435,15.81,20,0,0,2,64,0,3,0,0,0,0,1
436,217.3,0,0,0,6,59,1,1,0,0,0,1,0
437,13.6,21,0,0,2,66,0,3,0,0,1,0,0
438,310.53,15,0,0,4,41,0,2,0,0,1,0,0
439,220.5,14,0,0,1,60,0,1,0,1,0,0,0
440,15.27,22,0,0,2,25,0,2,1,0,0,0,0
441,15.96,16,0,0,1,39,0,1,0,0,1,0,0
442,529.8425,19,1,0,2,51,0,3,0,1,0,0,0
443,84.39,12,0,0,3,49,0,2,1,0,0,0,0
444,83.35,0,1,0,2,52,1,1,0,0,0,1,0
445,301.6,7,0,0,2,42,0,3,0,1,0,0,0
446,529.59,4,0,0,1,24,0,2,1,0,0,0,0
447,529.8425,5,0,0,4,31,0,3,0,0,0,0,1
448,251.98,22,0,0,5,61,0,3,0,0,0,0,1
449,84.96,19,0,0,0,46,0,2,0,0,1,0,0
450,15.69,13,0,0,2,54,0,2,1,0,0,0,0
451,270.22,21,0,0,3,54,0,2,0,0,0,0,1
452,147.12,22,0,1,2,24,0,1,0,0,1,0,0
453,99.37,10,0,0,0,50,0,2,0,1,0,0,0
454,426.28,5,0,0,4,34,0,1,0,1,0,0,0
455,21.22,10,1,0,6,36,0,2,1,0,0,0,0
456,122.13,12,0,0,3,42,0,3,1,0,0,0,0
457,2.06,11,0,0,1,25,0,1,1,0,0,0,0
458,113.82,21,1,0,0,29,0,3,1,0,0,0,0
